Istasyon_No,Istasyon_Adi,YIL,AY,value,Enlem,Boylam,Rakim,var
17250,NIGDE,1977,8,9.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,9,6.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,10,-3.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,11,-5.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,12,-13.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,1,-11.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,2,-6.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,3,-4.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,4,-0.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,5,2.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,6,3.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,7,8.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,8,8.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,9,6.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,10,2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,11,-6.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1978,12,-12.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,1,-14.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,2,-6.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,3,-5.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,4,-0.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,5,4.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,6,7.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,7,9.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,8,11.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,9,4.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,10,0.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,11,-3.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1979,12,-12,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,1,-15.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,2,-10.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,3,-7.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,4,-1.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,5,1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,6,6.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,7,12.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,8,10.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,9,4.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,10,-0.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,11,-8.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1980,12,-10,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,1,-11.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1981,2,-9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
